clean_text,label
one flood tsunami common turkey get fact right,1
spanish horrible,0
lady confused hell,0
woooooooaaaaaaaaahhhhhhhh,0
first one generated synonymous,0
wanna see wave caught camera sissy wave like,0
live two gully ocean always hope safe,0
big wave,1
oahhhhhh ohhhhhh,0
called paradise tax,0
people stand like great internet like stupid,0
time float,0
tsunami hit,1
people ignore warning leave car retainer wall stupid,1
terrifying natural disaster exist hand,1
called act god mother nature one always woman man,0
dead crazy,1
head mountain,1
seiche wave,0
riding,1
remember story right little wave got bay,0
rogue wave tsunami,1
tsunami based shape basin,1
meter high dont think,0
video clip suck one better weak view compared seen,0
forgot largest tsunami time lituya bay mega tsunami,1
fun fact september birthday,0
wave meter looked like meter,0
grandma,0
sexy juice taco,0
lol sounded like wonder actually said,0
man shut little tic,0
man bro muslim,0
man shut,0
brookeelisabethuk lack manner disrespect others,0
god help,1
bro help,1
hysterical camera man panic,1
going japan scared,1
bro like man new shoe damp,0
bro born september,0
youtube really pushing kamala harris add,0
power god nature mother nature ridiculous word,0
hha god know nothing died darwin talked evolution,0
pados music care little justify answer rabbi offense,0
oscargreat offence rabbi atheist,0
people grabbing mask world shake alarming,1
ship crew call pending disastrous wave coming,1
stay hydrated lol,1
omg funny,0
dynasingh bro comment find funny know cringe like,0
indian ocean boxing day tsunami killed smfh,1
water seek level,1
video sucked,0
believe person still mask omg people stupid,0
need translate wooukk wooouk wuk oooooh,0
truly doozy,0
love vid,0
damn one day born,0
dayum,0
cause tsunami bath tub pretty cool think,1
wave high reaching mph absolute horseshit total nonsense accurate,1
new top,0
feysteii yes,0
meter run actual wave,0
tsunami japanese seductive grunt,1
live block away largest lake idaho record tsunami past year happen ocean,0
forgot video talk much show video,0
japan earthquake foot tsunami,1
meter sound like extreme embellishment,0
tidal wave song geometry dash start playing,0
shiawase,0
tsunami warning siren,1
 wave tsunami,1
show one wave vid tsunami surge water gigantic wave,1
fucking fake,0
gurl,0
bright side,0
tsnaumis terrifying,1
i love this song watching it again,0
woman chilling touring tsunami wave arrives,1
remember cameraman never,0
huge waves hitting the shore people running away,1
sensationalism however google lituya bay tsunami tho,0
flood water rising very fast near the beach,1
this looks like a tsunami approaching look at the waves,1
far sea want meet tsunami,1
yep,0
true tsunami small time,1
nothing scary here just normal ocean,0
yeah get bigger right,0
why is everyone overreacting its fine,0
nothing serious just normal high tide,0
think use different description anyone enjoy video,0
dude care,0
surfboard lol,0
tsunami beautiful,0
sea water entering the road this looks dangerous,1
lol,0
highly doubt said wave reach mph absurd,0
clearly never seen gym bro,0
senator cornball,0
stop speaking play video,0
like ugh agaun,0
glad live western pennsylvania far away flat tornado land ocean,0
tsunami tsunami take minute ship surface wave ship second tsunami,1
coast guard call ohhh hell thee athoaridies release worning ohhhhh hell,1
japanese movie heroic effort save nuclear power plant forgot name,0
climate change,1
tsunami wave reach mainland wave crash wave ocea called tidal wave,1
sew narmi qiut,0
quality fbi cam,0
really tsunami wave tsunami wave see traveling upwards mph assuming large ship deep water wave height tsunami would low wave length peak peak far apart deep water ship even noticed come contact land wave slow start get taller please get fact correct posting,1
ocean behaving strangely waves getting higher,1
live japan one tsunami hit tell come crashing shore,1
know fake,0
great documentary one hit thailand year back yes least wave went right everything people rooftop multi storied building spared,0
nobody tryna hear extra shit show shit going,0
people swim would die thank watching,0
impossible swim current tsunami plus make landfall full debris crush people,1
even swimmer die tsunami force water debris carrying kill people,1
terrifying think reason look relatively tame video people witnessed worst died,1
doubt unpleasant bowel content evicting experience rather like waking discover biden helm,0
tsunami additionally empowered water land slide many area larger anticipated,1
mountain wave,1
landslide also cause tsunami,1
sorry boxing day tsunami fully expecting spot,0
number ranked tsunami video seems sketchy monster really,0
thanks god arab live desert,0
height watermark hillside outside seawall water collecting outside wave height afaik,1
houses flooded after high tide everyone please stay safe,1
saw tsunami small walked kinda burnt arm,1
wave fish,1
speed wee bit,0
face red droopy eye planet,0
dangerous situation beach completely underwater,1
boats destroyed due to strong waves,1
this is not normal tide very high and scary,1
idiotic one wave flooding,1
wanted see listen ramblings,0
flooding started again water level keeps rising,1
video,0
rescue teams needed sea water flooding the street,1
tsunami give diarrhea peehole,1
want know left indian ocean tsunami,0
tsunami also caused landslide considered consequence earthquake volcano,0
ofcourse know much landslide tsunami sometimes tall one higher meter heard submarine volcano eruption caused tsunami tall great east japan earthquake,0
boxing day tsunami never happend complete doc,0
report faker,0
saw episode doreamon monster tsunami,0
storm surge causing massive waves on the coast,1
knowing wave likely pas set properly still shit jimmie knowing incalculable amount weight water power passing like power god passing,0
massive storm make wave,1
think warning come water right near town people still walking,1
scary sad,1
tsunami horrific yet tital surge foot nine hour straight hurricane ian destroyed coastal property ravaged inland community mile shoreline,1
people shouting wave coming very scary moment,1
importantly believe last messenger muhammad sallalahualayhiwasallam,0
shamshudashamshuda muhammad shed blood sin jesus,0
motor mouth going video footage,0
wish giant tsunami would wipe san francisco,0
guy underworld,0
never fails amaze people staring death face stand filming,0
nice day bird,0
water entered homes near the coast terrible situation,1
hatemode real shit constantly hear even country yet killed people,0
anyone translate spoken japanese video,0
ride boat,0
forgot say due tsunami caused nuclear meltdown near death people completed blew also whirlpool,1
video suck shut show good wave,0
nerd emoji,0
one person dead,1
know everything boxing day palu earthquake tsunami indonesia also terrifying,0
ohio,0
monster wave caught camera seriously lamest tsunami footage ever seen,0
dangerous disaster country tsunami hurricane cat tornado earthquake magnitued dangerouse earthquaked recorded ohio,1
forgot aceh tsunami,0
respect boat tsunami,0
blablabla nothing see,0
