clean_text,keywords
water level rising rapidly,"water level, rising rapidly, level rising, rising, water"
wave crashing violently shore,"wave crashing, violently shore, shore, wave, crashing violently"
sea water entering road,"water entering, sea water, entering road, sea, road"
wind getting stronger every minute,"wind getting, wind, stronger minute, getting stronger, stronger"
huge wave smashing rock,"wave smashing, smashing rock, huge wave, smashing, wave"
flood like situation near beach,"flood like, flood, beach, near beach, situation near"
tide getting higher higher,"tide getting, tide, higher higher, getting higher, higher"
ocean look extremely rough,"ocean look, ocean, extremely rough, rough, look extremely"
danger approaching look sky,"danger approaching, look sky, approaching look, sky, danger"
possible high tide warning,"tide warning, high tide, tide, warning, possible high"
sudden rise water level,"water level, rise water, sudden rise, rise, water"
shore getting flooded slowly,"flooded slowly, getting flooded, shore getting, shore, flooded"
wave becoming unpredictable,"wave unpredictable, wave, unpredictable"
sea behaving strangely today,"sea behaving, sea, strangely today, behaving strangely, today"
flood alert local authority,"flood alert, flood, local authority, alert local, alert"
strong wind pushing wave inland,"wave inland, wind pushing, strong wind, pushing wave, wind"
fisherman warning everyone stay away,"fisherman warning, fisherman, warning stay, warning, stay away"
coast guard issuing alert,"coast guard, issuing alert, alert, guard issuing, coast"
beach closed due dangerous wave,"beach closed, dangerous wave, beach, closed dangerous, wave"
lifeguard warning people move back,"lifeguard warning, lifeguard, warning people, warning, people"
scary situation building near shore,"building near, shore, scary situation, near shore, building"
massive wave almost hit road,"massive wave, wave hit, wave, hit road, road"
extreme tide pushing water forward,"extreme tide, tide pushing, tide, water forward, pushing water"
shoreline disappearing due wave,"shoreline disappearing, disappearing wave, shoreline, wave, disappearing"
violent splash hitting wall,"violent splash, splash hitting, hitting wall, splash, wall"
unusual loud ocean noise heard,"ocean noise, loud ocean, unusual loud, noise heard, ocean"
storm surge water entering houses,"surge water, storm surge, surge, storm, water entering"
danger increasing every minute,"danger increasing, danger, increasing minute, increasing, minute"
sea look extremely angry,"sea look, extremely angry, sea, angry, look extremely"
dark cloud forming over ocean,"forming ocean, dark cloud, cloud forming, ocean, cloud"
wave hitting barrier violently,"wave hitting, hitting barrier, barrier violently, wave, barrier"
emergency evacuation announced,"evacuation announced, emergency evacuation, evacuation, emergency, announced"
public asked stay away beach,"away beach, beach, public asked, public, away"
sea pulling water unusually fast,"sea pulling, pulling water, water unusually, sea, unusually fast"
ocean current too strong today,"ocean current, current strong, ocean, current, strong today"
local reporting dangerous tide,"dangerous tide, tide, local reporting, reporting dangerous, reporting"
high wave hitting fishing boat,"wave hitting, hitting fishing, fishing boat, high wave, boat"
water flooding street near coastline,"water flooding, flooding street, flooding, coastline, near coastline"
beach sand washed away tide,"sand washed, tide, away tide, beach sand, sand"
unusually strong backwash wave,"backwash wave, strong backwash, backwash, wave, unusually strong"
boat drifting uncontrolled strong wave,"boat drifting, drifting uncontrolled, strong wave, drifting, boat"
dangerous sea condition reported,"sea condition, dangerous sea, sea, condition reported, dangerous"
coast guard rescue team deployed,"coast guard, rescue team, guard rescue, team deployed, rescue"
scary ocean vibration felt shore,"ocean vibration, felt shore, scary ocean, vibration felt, shore"
people running away rising water,"people running, rising water, running away, away rising, running"
storm tide coming faster expected,"storm tide, tide coming, tide, faster expected, storm"
flooding seen near lighthouse,"flooding seen, near lighthouse, lighthouse, flooding, seen near"
huge wave covering entire walkway,"huge wave, wave covering, entire walkway, wave, walkway"
severe sea disturbance seen today,"sea disturbance, severe sea, disturbance seen, disturbance, sea"
large wave approaching quickly,"large wave, wave approaching, wave, approaching quickly, quickly"
hazard alert announced beach,"hazard alert, announced beach, alert announced, hazard, beach"
giant wave toppling object shore,"wave toppling, object shore, giant wave, shore, wave"
torrential wave sweeping beach,"torrential wave, sweeping beach, wave sweeping, wave, beach"
fast rising seawater alert,"seawater alert, rising seawater, seawater, fast rising, alert"
current pulling swimmer dangerously,"pulling swimmer, swimmer dangerously, swimmer, current pulling, dangerously"
bridge shaking due heavy wave,"bridge shaking, shaking heavy, heavy wave, bridge, shaking"
unusual tide pattern today,"tide pattern, unusual tide, tide, pattern today, pattern"
coastline eroding rapidly today,"coastline eroding, coastline, eroding rapidly, eroding, rapidly today"
